PID,Civic Address,Contact,Community,Pad Fee,Term,Source,Listing,lat,lon,Website,satellite,Streetview,Municipality,Zone Code,Zone Description,Width,Depth,Lot Size,Gross Taxes,BCA Description,2024 Assessed Land Value,2024 Assessed Total Value,Transacted,Transacted Year,Transaction Details
001-612-832,349 TINGLEY ST Ashcroft BC V0K 1A0,,,,,,,,,,,,Ashcroft,R1,Residential 1,-,-,27878.4,-,MOBILE HOME PARK,255000,275600,,,
029-488-958,620 DIXON CREEK RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,146361.6,-,MOBILE HOME PARK,591000,619200,,,
023-244-810,4510 POWER RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,713512.8,-,MOBILE HOME PARK,1156000,1755000,,,
008-333-131,616 ARMOUR RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,232610.4,-,MOBILE HOME PARK,683000,1067000,,,
011-374-683,4428 BARRIERE TOWN RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,421660.8,-,MOBILE HOME PARK,1638000,1717700,,,
007-894-759,4564 SUMMER RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,435600,-,MOBILE HOME PARK,531000,559700,,,
007-969-881,4618 AIRFIELD RD Barriere BC V0E 1E0,,,,,,,,,,,,Barriere,MH,MOBILE HOME PARK,-,-,155073.6,-,MOBILE HOME PARK,615000,656700,,,
012-645-109,160 HIGHWAY 16 E Burns Lake BC,,,,,,,,,,,,Burns Lake,,,-,-,1717570.8,15290.38,MOBILE HOME PARK,1321000,1419400,,,
010-195-769,1253 OLD CARIBOO RD Cache Creek BC,,,,,,,,,,,,Cache Creek,R5,MobileHomePark,-,-,77536.8,-,MOBILE HOME PARK,93300,208300,,,
008-915-865,1499 QUARTZ RD Cache Creek BC,,,,,,,,,,,,Cache Creek,R3,MediumDensityResidential,-,-,21344.4,-,MOBILE HOME PARK,114000,121500,,,
009-198-857,1055 OLD CARIBOO RD Cache Creek BC V0K 1H0,,,,,,,,,,,,Cache Creek,C1,GenHwyCommercial,-,-,76665.6,-,MOBILE HOME PARK,330000,354100,,,
009-508-309,1259 STAGE RD Cache Creek BC V0K 1H0,,,,,,,,,,,,Cache Creek,C5,MixedCommercialResidential,-,-,43560,-,MOBILE HOME PARK,256000,563000,,,
010-195-718,1299 OLD CARIBOO RD Cache Creek BC,,,,,,,,,,,,Cache Creek,R5,MobileHomePark,-,-,42253.2,-,MOBILE HOME PARK,172000,332000,,,
004-446-721,701 TRANS CANADA HY Cache Creek BC,,,,,,,,,,,,Cache Creek,R5,MobileHomePark,-,-,623779.2,-,MOBILE HOME PARK,1503000,2403000,,,
008-310-181,1321 OLD CARIBOO RD Cache Creek BC,,,,,,,,,,,,Cache Creek,R5,MobileHomePark,-,-,88862.4,-,MOBILE HOME PARK,342000,388400,,,
012-428-434,1160 SHELLBOURNE BV Campbell River BC V9W 5G5,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,625782.96,-,MOBILE HOME PARK,5727000,6310000,,,
001-379-208,3140 ISLAND HY Campbell River BC V9W 5G1,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,42732.36,-,MOBILE HOME PARK,290000,424000,,,
005-390-826,340 PETERSEN RD Campbell River BC V9W 3H5,,,,,,,,,,,,Campbell River,RM-2,Residential Multiple Two,-,-,43560,-,MOBILE HOME PARK,201000,307000,,,
005-891-213,2210 ISLAND HY Campbell River BC V9W 2G8,,,,,,,,,,,,Campbell River,C-4,Commercial Four,-,-,30012.84,-,MOBILE HOME PARK,265000,390000,,,
003-883-353,1800 PERKINS RD Campbell River BC V9W 4S1,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,108900,-,MOBILE HOME PARK,1366000,1443900,,,
009-678-093,951 HOMEWOOD RD Campbell River BC V9W 3N7,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,548856,-,MOBILE HOME PARK,6420000,7173000,,,
005-062-888,2520 QUINSAM RD Campbell River BC V9W 4N4,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,606355.2,-,MOBILE HOME PARK,5026000,5281000,,,
006-335-055,2100 CAMPBELL RIVER RD Campbell River BC V9W 4N7,,,,,,,,,,,,Campbell River,C-4,Commercial Four,-,-,66298.32,-,MOBILE HOME PARK,1416000,1525000,,,
015-860-400,1451 PERKINS RD Campbell River BC V9W 4R8,,,,,,,,,,,,Campbell River,RM-1RM-3,Residential Multiple OneResidential Multiple Three,-,-,242193.6,-,MOBILE HOME PARK,1450000,1537700,,,
000-062-651,2700 WOODBURN RD Campbell River BC V9W 4R4,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,1450548,-,MOBILE HOME PARK,6867000,7248000,,,
004-113-861,1630 CROATION RD Campbell River BC V9W 3T5,,,,,,,,,,,,Campbell River,MHP,Manufactured Home Park,-,-,121968,-,MOBILE HOME PARK,673000,762700,,,
031-758-908,2694 ISLAND HY S Campbell River BC V9W 1C7,,,,,,,,,,,,Campbell River,RM-3,Residential Multiple Three,-,-,119441.52,-,MOBILE HOME PARK,1526000,1527100,,,
015-755-983,4915 BAILLIE GROHMAN AV Canal Flats BC,,,,,,,,,,,,Canal Flats,R-MP,Mobile Home Park,-,-,137301.12,-,MOBILE HOME PARK,740000,806200,,,
012-379-867,4814 BEATTY AV Canal Flats BC,,,,,,,,,,,,Canal Flats,R-MP,Mobile Home Park,-,-,209959.2,-,MOBILE HOME PARK,461000,557300,,,
016-031-318,1601 COLUMBIA AV Castlegar BC V1N 1J1,,,,,,,,,,,,Castlegar,R5,R-5 (Manufactured Home Park),-,-,147102.12,-,MOBILE HOME PARK,1269000,1463000,,,
016-927-362,1495 COLUMBIA AV Castlegar BC V1N 1H8,,,,,,,,,,,,Castlegar,C2,C-2 (Highway Commercial),-,-,36850,-,MOBILE HOME PARK,455000,455001,,,
015-216-781,1525 COLUMBIA AV Castlegar BC V1N 1J1,,,,,,,,,,,,Castlegar,R5,R-5 (Manufactured Home Park),-,-,29620.8,-,MOBILE HOME PARK,439000,479300,,,
015-087-042,21-1545 COLUMBIA AV Castlegar BC V1N 1J1,,,,,,,,,,,,Castlegar,R5,R-5 (Manufactured Home Park),-,-,148975.2,-,MOBILE HOME PARK,1934000,1986100,,,
010-631-640,1107 COLUMBIA AV Castlegar BC,,,,,,,,,,,,Castlegar,C2,C-2 (Highway Commercial),-,-,76488,-,MOBILE HOME PARK,404000,493800,,,
003-019-128,746 THOMPSON AV Chase BC V0E 1M0,,,,,,,,,,,,Chase,R-4,MOBILE HOME RESIDENTIAL,-,-,33976.8,-,MOBILE HOME PARK,334000,363000,,,
023-253-401,1250 HILLSIDE AV Chase BC,,,,,,,,,,,,Chase,R-4,MOBILE HOME RESIDENTIAL,-,-,536223.6,-,MOBILE HOME PARK,1480000,2423000,,,
004-578-741,1214 OKANAGAN AV Chase BC V0E 1M0,,,,,,,,,,,,Chase,R-4,MOBILE HOME RESIDENTIAL,-,-,302742,-,MOBILE HOME PARK,2044000,2319000,,,
008-394-369,504 PINE ST Chase BC,,,,,,,,,,,,Chase,R-4,MOBILE HOME RESIDENTIAL,-,-,272250,-,MOBILE HOME PARK,1583000,1857000,,,
018-071-538,161 SHUSWAP AV Chase BC,,,,,,,,,,,,Chase,R-4,MOBILE HOME RESIDENTIAL,-,-,220849.2,-,MOBILE HOME PARK,1642000,1841000,,,
012-058-688,4800 53 ST NW Chetwynd BC V0C 1J0,,,,,,,,,,,,Chetwynd,,,-,-,47318,-,MOBILE HOME PARK,183000,206600,,,
009-725-539,24-4500 42 AV NE Chetwynd BC V0C 1J0,,,,,,,,,,,,Chetwynd,,,-,-,435600,-,MOBILE HOME PARK,1086000,1195000,,,
023-204-567,45715 ALMA AV Chilliwack BC V2R 3M5,,,,,,,,,,,,Chilliwack,RMH,Mobile Home Park,-,-,154986.48,11714.71,MOBILE HOME PARK,2435000,3013000,,,
026-072-459,44565 MONTE VISTA DR Chilliwack BC V2R 5Y4,,,,,,,,,,,,Chilliwack,RMH,Mobile Home Park,-,-,172933.2,11919.14,MOBILE HOME PARK,2489000,3064000,,,
002-410-630,46626 YALE RD Chilliwack BC V2P 2R7,,,,,,,,,,,,Chilliwack,CS2,Tourist Commercial,-,-,78887.16,14920.23,MOBILE HOME PARK,4527000,4537000,,,
002-232-065,45111 WOLFE RD Chilliwack BC V2P 1V6,,,,,,,,,,,,Chilliwack,RMH,Mobile Home Park,-,-,392911.2,25372.11,MOBILE HOME PARK,5198000,6527000,,,
007-537-867,45638 WATSON RD Chilliwack BC V2R 2H1,,,,,,,,,,,,Chilliwack,RMH,Mobile Home Park,-,-,710463.6,45625.01,MOBILE HOME PARK,10042000,11711000,,,
026-072-441,5742 UNSWORTH RD Chilliwack BC V2R 3A1,,,,,,,,,,,,Chilliwack,RMH,Mobile Home Park,-,-,357017.76,24708.53,MOBILE HOME PARK,5212000,6348000,,,
001-965-662,1023 SCOTT DR Clearwater BC V0E 1N1,,,,,,,,,,,,Clearwater,MHP-1,Manufactured Home Park Zone,-,-,243282.6,-,MOBILE HOME PARK,657000,953000,,,
013-163-973,93W OLD N THOMPSON HY Clearwater BC V0E 1N2,,,,,,,,,,,,Clearwater,MHP-1,Manufactured Home Park Zone,-,-,298386,-,MOBILE HOME PARK,204000,693000,,,
007-498-772,2W OLD N THOMPSON HY Clearwater BC V0E 1N2,,,,,,,,,,,,Clearwater,MHP-1,Manufactured Home Park Zone,-,-,161607.6,-,MOBILE HOME PARK,214000,544000,,,
002-222-906,361 RIDGE DR Clearwater BC V0E 1N2,,,,,,,,,,,,Clearwater,C-4MHP-1,Recreational Commercial ZoneManufactured Home Park Zone,-,-,668210.4,-,MOBILE HOME PARK,1183400,2437800,,,
012-816-876,205 CARIBOO AV Clinton BC V0K 1K0,,,,,,,,,,,,Clinton,CONTACT VILLAGE OF CLINTON,CONTACT VILLAGE OF CLINTON,-,-,50965.2,-,MOBILE HOME PARK,167000,196700,,,
023-481-544,1620 CARIBOO HWY 97 Clinton BC V0K 1K0,,,,,,,,,,,,Clinton,CONTACT VILLAGE OF CLINTON,CONTACT VILLAGE OF CLINTON,-,-,200376,-,MOBILE HOME PARK,702000,807000,,,
028-740-262,15401 KALAMALKA RD Coldstream BC V1B 1Z3,,,,,,,,,,,,Coldstream,R5,Residential Manufactured Home Community,-,-,857957.76,-,MOBILE HOME PARK,8206000,9153000,,,
011-381-302,8508 CLERKE RD Coldstream BC V1B 1W2,,,,,,,,,,,,Coldstream,R5,Residential Manufactured Home Community,-,-,385157.52,-,MOBILE HOME PARK,2533000,2693000,,,
003-306-585,980 ANDERTON RD Comox BC V9M 4A4,,,,,,,,,,,,Comox,AG1.1,Agriculture,-,-,629442,-,MOBILE HOME PARK,1649000,1696300,,,
001-033-794,201 CAYER ST Coquitlam BC,,,,,,,,,,,,Coquitlam,RMH-1,Mobile Home Park,-,-,1322917.2,137405.03,MOBILE HOME PARK,44039000,44354000,,,
003-763-862,145 KING EDWARD ST Coquitlam BC V3K 6K9,,,,,,,,,,,,Coquitlam,RMH-1,Mobile Home Park,-,-,1089000,132923.98,MOBILE HOME PARK,42650000,42774000,,,
011-214-082,4200 DEWDNEY TRUNK RD Coquitlam BC V3H 3E2,,,,,,,,,,,,Coquitlam,RMH-1,Mobile Home Park,-,-,250905.6,29102.09,MOBILE HOME PARK,9335000,9365000,,,
000-955-027,791 BRAIDWOOD RD Courtenay BC V9N 3S1,,,,,,,,,,,,Courtenay,C-2,Commercial Two Zone,-,-,108900,-,MOBILE HOME PARK,808000,884300,,,
023-312-220,390 COWICHAN AV Courtenay BC V9N 7T4,,,,,,,,,,,,Courtenay,MH-2,Mobile Home Park Residential Zone,-,-,539272.8,-,MOBILE HOME PARK,5109000,5622000,,,
017-721-261,2140 20TH ST Courtenay BC V9N 2G6,,,,,,,,,,,,Courtenay,MH-2,Mobile Home Park Residential Zone,-,-,204949.8,-,MOBILE HOME PARK,1800000,2163000,,,
023-024-526,4714 MUIR RD Courtenay BC V9N 8Z6,,,,,,,,,,,,Courtenay,MH-2,Mobile Home Park Residential Zone,-,-,1442315.16,-,MOBILE HOME PARK,12696000,15254000,,,
005-764-220,2625 MANSFIELD DR Courtenay BC V9N 2M2,,,,,,,,,,,,Courtenay,C-2,Commercial Two Zone,-,-,130860,-,MOBILE HOME PARK,2518000,2641000,,,
000-917-648,1180 EDGETT RD Courtenay BC V9N 6C7,,,,,,,,,,,,Courtenay,R-2,Residential Two Zone,-,-,223027.2,-,MOBILE HOME PARK,3213000,3426000,,,
007-487-681,1700 CUMBERLAND RD Courtenay BC V9N 2E9,,,,,,,,,,,,Courtenay,LUC,Land Use Contract,-,-,182516.4,-,MOBILE HOME PARK,1215000,1323000,,,
004-855-531,2787 WENTWORTH RD Courtenay BC V9N 6B7,,,,,,,,,,,,Courtenay,MH-2,Mobile Home Park Residential Zone,-,-,280962,-,MOBILE HOME PARK,1634000,1767000,,,
008-197-237,413 KING ST Cranbrook BC V1C 4E4,,,,,,,,,,,,Cranbrook,M-1,Industrial Zone / Clean,-,-,12980.88,-,MOBILE HOME PARK,172000,184400,,,
018-678-629,520 KOOTENAY ST N Cranbrook BC V1C 6J3,,,,,,,,,,,,Cranbrook,R-2,Residential Zone / Three And Four Family,-,-,12458.16,-,MOBILE HOME PARK,176000,209800,,,
012-519-057,512 KING ST Cranbrook BC V1C 4E5,,,,,,,,,,,,Cranbrook,R-8,Residential Zone / Mobile Home Park,-,-,87120,-,MOBILE HOME PARK,832000,887000,,,
016-003-250,700 PATTERSON ST W Cranbrook BC V1C 6T6,,,,,,,,,,,,Cranbrook,R-8,Residential Zone / Mobile Home Park,-,-,648608.4,-,MOBILE HOME PARK,2896000,3177000,,,
014-537-231,22-1900 10TH ST S Cranbrook BC V1C 1T5,,,,,,,,,,,,Cranbrook,R-8,Residential Zone / Mobile Home Park,-,-,402930,-,MOBILE HOME PARK,4001000,4224000,,,
023-577-291,2321 INDUSTRIAL ROAD 2 Cranbrook BC V1C 6H3,,,,,,,,,,,,Cranbrook,R-8,Residential Zone / Mobile Home Park,-,-,308883.96,-,MOBILE HOME PARK,1779000,2268000,,,
018-939-821,2424 INDUSTRIAL ROAD 2 Cranbrook BC V1C 6H3,,,,,,,,,,,,Cranbrook,R-8,Residential Zone / Mobile Home Park,-,-,561836.88,-,MOBILE HOME PARK,2608000,3225000,,,
015-362-922,2025 10TH ST N Cranbrook BC,,,,,,,,,,,,Cranbrook,C-4,Commercial Zone / Mixed Commercial-residential,-,-,269636.4,-,MOBILE HOME PARK,2851000,3062000,,,
013-311-794,445 6TH AV N Creston BC,,,,,,,,,,,,Creston,,,-,-,937411.2,-,MOBILE HOME PARK,5032000,6673000,,,
029-254-086,1436 NORTHWEST BV Creston BC V0B 1G6,,,,,,,,,,,,Creston,,,-,-,379843.2,-,MOBILE HOME PARK,1039000,1495000,,,
005-822-637,1606 HELEN ST Creston BC,,,,,,,,,,,,Creston,,,-,-,483080.4,-,MOBILE HOME PARK,647000,702900,,,
003-133-818,3266 SEVENTH ST Cumberland BC V0R 1S0,,,,,,,,,,,,Cumberland,MHP-1,Manufactured Home Park Zone,-,-,189921.6,-,MOBILE HOME PARK,1483000,1538200,,,
013-299-808,9800 18 ST Dawson Creek BC V1G 5A4,,,,,,,,,,,,Dawson Creek,RMH-1,Manufactured Home Park,-,-,107506.08,-,MOBILE HOME PARK,558000,688100,,,
018-273-998,9700 18 ST Dawson Creek BC V1G 5A4,,,,,,,,,,,,Dawson Creek,RMH-1,Manufactured Home Park,-,-,148539.6,-,MOBILE HOME PARK,632000,667900,,,
003-676-056,1913 96 AV Dawson Creek BC V1G 1M2,,,,,,,,,,,,Dawson Creek,C-4,Service Commercial,-,-,137649.6,-,MOBILE HOME PARK,757500,877200,,,
008-176-167,1201 118 AV Dawson Creek BC,,,,,,,,,,,,Dawson Creek,RMH-1,Manufactured Home Park,-,-,766656,-,MOBILE HOME PARK,2428000,2767000,,,
008-176-248,1200 ADAMS RD Dawson Creek BC,,,,,,,,,,,,Dawson Creek,RMH-1,Manufactured Home Park,-,-,679536,-,MOBILE HOME PARK,2155000,2297000,,,
010-113-762,35 CASSIAR DR Elkford BC,,,,,,,,,,,,Elkford,,,-,-,303613.2,-,MOBILE HOME PARK,1224000,1339000,,,
012-673-030,42 WILDERNESS HT Elkford BC,,,,,,,,,,,,Elkford,,,-,-,831124.8,-,MOBILE HOME PARK,1274000,2213000,,,
010-425-527,25 CARIBOO DR Elkford BC,,,,,,,,,,,,Elkford,,,-,-,203425.2,-,MOBILE HOME PARK,874000,956700,,,
002-356-937,136 MEADOW CR Enderby BC,,,,,,,,,,,,Enderby,R5,Residential Mobile Home Park,-,-,317552.4,-,MOBILE HOME PARK,2591000,2733000,,,
002-309-238,130 CLIFFVIEW LN Enderby BC V0E 1V1,,,,,,,,,,,,Enderby,R5,Residential Mobile Home Park,-,-,375922.8,-,MOBILE HOME PARK,1703000,2090000,,,
014-069-458,60 COKATO RD Fernie BC V0B 1M4,,,,,,,,,,,,Fernie,RMH,Manufactured Home,-,-,582832.8,-,MOBILE HOME PARK,4532700,4864300,,,
012-172-839,10420 96 AV Fort St. John BC V1J 1L5,,,,,,,,,,,,Fort St. John,R-3,Factory-Built House Park,-,-,167706,10455.17,MOBILE HOME PARK,1141000,1212600,,,
024-835-790,9203 82 ST Fort St. John BC V1J 5G5,,,,,,,,,,,,Fort St. John,R-3,Factory-Built House Park,-,-,1004232.24,47642.47,MOBILE HOME PARK,5356000,5535000,,,
004-434-552,8420 ALASKA RD Fort St. John BC V1J 4J6,,,,,,,,,,,,Fort St. John,R-3,Factory-Built House Park,-,-,1094662.8,40503.6,MOBILE HOME PARK,4304000,4691000,,,
026-668-343,44 ENDAKO RD Fraser Lake BC V2L 3G7,,,,,,,,,,,,Fraser Lake,C1R3,General CommercialMobile Home Park,-,-,196020,4546.79,MOBILE HOME PARK,408000,452400,,,
010-305-769,4 TUNASA CR Fraser Lake BC,,,,,,,,,,,,Fraser Lake,R3,Mobile Home Park,-,-,96703.2,-,MOBILE HOME PARK,40000,48700,,,
027-411-397,10 NELSON AV Fruitvale BC,,,,,,,,,,,,Fruitvale,RMP,Mobile Home Park,-,-,21518,-,MOBILE HOME PARK,190000,199300,,,
018-482-686,1790 BARRETT DR Fruitvale BC,,,,,,,,,,,,Fruitvale,RMP,Mobile Home Park,-,-,83199.6,-,MOBILE HOME PARK,817000,913400,,,
016-318-382,601 MATCHLEE DR Gold River BC V0P 1G0,,,,,,,,,,,,Gold River,,,-,-,483080.4,-,MOBILE HOME PARK,383000,617000,,,
006-786-707,1422 GOLDEN VIEW RD Golden BC V0A 1H1,,,,,,,,,,,,Golden,C6,Resort Commercial,-,-,182515,-,MOBILE HOME PARK,1336000,1538000,,,
007-748-493,1400 12TH ST N Golden BC V0A 1H1,,,,,,,,,,,,Golden,R6,Mobile Home Park,-,-,524026.8,-,MOBILE HOME PARK,2924000,3209000,,,
008-601-861,906 11TH ST N Golden BC V0A 1H0,,,,,,,,,,,,Golden,R6,Mobile Home Park,-,-,58370.4,-,MOBILE HOME PARK,389000,437200,,,
007-541-678,1431 LAFONTAINE RD Golden BC V0A 1H0,,,,,,,,,,,,Golden,CD1,Gateway Comprehensive Development,-,-,89472,-,MOBILE HOME PARK,436000,464900,,,
005-900-115,1409 11TH AV N Golden BC V0A 1H0,,,,,,,,,,,,Golden,R6,Mobile Home Park,-,-,64904.4,-,MOBILE HOME PARK,772000,834000,,,
